"Pnum","Section","Owner","Mixed.species","Species","State.code","Closed","Clear.date","Missing.entire.brood","Suspected.predation","Lay.date","April.lay.date","Lay.date.uncertainty","Lay.date.visit.interval","Laying.rate","Incubation.started","Num.broken.eggs","Expected.hatch.date","Hatch.date","April.hatch.date","Incubation.duration","Total.egg.weight","Num.eggs.weighed","Clutch.size","Num.chicks","Num.chicks.ringed","April.ring.date","Ring.day","Num.live.chicks","Num.dead.chicks","Num.fledglings","Mean.chick.weight","Num.linked.pulli.records","Num.linked.adult.records","Father","Mother","Identified.adults","Chick.ids","Dead.ringed.chick.ids","Experiment.codes","Num.eggs.manipulated","Comments","Legacy.average.egg.weight","Legacy.max.nest.state.code","Legacy.last.visit.date","Legacy.hatch.age.in.days","Legacy.april.hatch.date","Legacy.predation","Legacy.clutch.accuracy","Legacy.mean.fledge.weight","Legacy.num.ringed.dead.chicks","year"
"20221C141","c","Joe Woodman","false","b",6,"true","17-05-2022",NA,NA,"10-04-2022",10,"0",5,NA,"true",0,"02-05-2022","03-05-2022",33,14,3.4,3,10,9,0,NA,NA,NA,9,0,NA,0,1,"atr9211",NA,"atr9211",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C143","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"bat",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C144","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",1,"04-05-2022","05-05-2022",35,14,3.5,3,9,9,9,49,15,9,3,6,8.31,9,2,"avl4413","atr5879","avl4413, atr5879",NA,"atr9413, atr9415, atr9416",NA,0,"FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C145","c","Joe Woodman","false","b",6,"true","28-05-2022",NA,NA,"14-04-2022",14,"0",8,NA,"true",0,"04-05-2022","04-05-2022",34,13,NA,NA,8,8,8,48,15,8,0,8,24.28,8,3,"atr9227","atr6321","atr6321, atr9227",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C146","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C147","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,"20-04-2022",20,"0",8,0.75,"true",0,"11-05-2022",NA,NA,NA,5.3,3,9,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON, eggs are cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C148","c","Joe Woodman","false","g",6,"true","23-05-2022",NA,NA,"30-03-2022",-1,"0",7,0.5,"true",0,"20-04-2022","29-04-2022",29,22,4.6,3,9,4,4,43,15,4,0,4,18.53,4,3,"tw41667","tl39678","tw41667, tl39678",NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C149","c","Joe Woodman","false",NA,6,"true","03-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C15","c","Joe Woodman","false","b",6,"true","01-06-2022",NA,NA,"15-04-2022",15,"0",8,0.67,"true",0,"08-05-2022","08-05-2022",38,12,3.5,3,12,11,9,52,15,9,0,9,10.83,9,2,"atr6159","atr9304","atr9304, atr6159",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C150","c","Joe Woodman","false","b",6,"true","28-05-2022",NA,NA,"14-04-2022",14,"0",8,NA,"true",0,"04-05-2022","04-05-2022",34,11,NA,NA,10,10,9,48,15,9,0,9,10.86,9,2,"avl4237","j215568","avl4237, j215568",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C151","c","Joe Woodman","false","g",6,"true","28-05-2022",NA,NA,"14-04-2022",14,"0",8,NA,"true",0,"05-05-2022","04-05-2022",34,12,NA,NA,9,8,8,48,15,8,1,7,17.08,8,2,"pf71373","tv26549","pf71373, tv26549",NA,"pf72005",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C152","c","Joe Woodman","false","g",6,"true","25-05-2022",NA,NA,"11-04-2022",11,"0",5,NA,"true",0,"01-05-2022","01-05-2022",31,13,3,3,8,8,7,45,15,7,0,7,17.11,7,2,"vz31410","ty70296","ty70296, vz31410",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C153","c","Joe Woodman","false","g",6,"true","31-05-2022",NA,NA,"16-04-2022",16,"0",8,NA,"true",0,"08-05-2022","07-05-2022",37,12,4.9,3,10,8,5,51,15,5,1,5,15.64,5,1,NA,"pf71960","pf71960",NA,NA,NA,0,"FON, suspected single parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C154","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"11-04-2022",11,"0",5,1,"true",0,"06-05-2022","05-05-2022",35,12,3,3,13,13,13,49,15,13,1,12,10.08,13,3,"atr6767","atr6242","atr6767, atr6242",NA,"atr9428",NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C155","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C156","c","Joe Woodman","false","b",6,"true","31-05-2022",NA,NA,"27-04-2022",27,"0",3,1,"true",0,"17-05-2022","17-05-2022",47,13,3.5,3,8,7,0,NA,NA,NA,7,0,NA,0,1,NA,"atr9664","atr9664",NA,NA,NA,0,"FON, F not tagged",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C157","c","Joe Woodman","false","g",6,"true","28-05-2022",NA,NA,"11-04-2022",11,"0",5,NA,"true",0,"03-05-2022","04-05-2022",34,14,4.7,3,10,9,9,48,15,9,0,9,18.12,9,2,"vz33158","pf72126","pf72126, vz33158",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C158","c","Joe Woodman","false","m",6,"true","21-05-2022",NA,NA,"06-04-2022",6,"0",5,1,"true",0,"27-04-2022","27-04-2022",27,13,4.2,3,9,9,8,41,15,8,0,8,10.91,8,2,"avl4257","j215855","j215855, avl4257",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C159","c","Joe Woodman","false","b",6,"true","31-05-2022",NA,NA,"16-04-2022",16,"0",8,NA,"true",0,"07-05-2022","07-05-2022",37,13,3.6,3,9,8,8,51,15,8,0,8,11.09,8,2,"atr9291","atr5864","atr5864, atr9291",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C16","c","Joe Woodman","false","g",6,"true","11-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"05-05-2022","06-05-2022",36,13,5.5,3,11,8,0,NA,NA,NA,4,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C160A","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C160B","c","Joe Woodman","false","g",6,"true","25-05-2022",NA,NA,"11-04-2022",11,"0",5,NA,"true",0,"01-05-2022","01-05-2022",31,13,5.2,3,8,8,8,45,15,8,0,8,17.19,8,2,"pf71915","ty68394","ty68394, pf71915",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C161","c","Joe Woodman","false","b",6,"true","10-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"05-05-2022","06-05-2022",36,14,3.5,3,10,10,0,NA,NA,NA,10,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C162","c","Joe Woodman","false","b",6,"true","20-05-2022",NA,NA,"19-04-2022",19,"0",8,1,"true",0,"09-05-2022","09-05-2022",39,13,3,3,8,7,0,NA,NA,NA,7,0,NA,0,1,NA,"atr4969","atr4969",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C163","c","Joe Woodman","false","g",6,"true","24-05-2022",NA,NA,"19-04-2022",19,"0",8,NA,"true",0,"10-05-2022","10-05-2022",40,13,5.1,3,9,9,0,NA,NA,NA,7,0,NA,0,1,NA,"pf72032","pf72032",NA,NA,NA,0,"FON, suspected single parent",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C17","c","Joe Woodman","false","g",6,"true","24-06-2022",NA,NA,"14-05-2022",44,"0",13,NA,"true",0,"01-06-2022","31-05-2022",61,12,NA,NA,6,5,5,75,15,5,0,5,17.02,5,2,"pf71398","pf71901","pf71398, pf71901",NA,NA,NA,0,"FON, FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C18","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"dead bluti ATR5987",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C19","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C2","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C20","c","Joe Woodman","false","g",6,"true","09-05-2022",NA,NA,"06-04-2022",6,"0",5,NA,"true",0,"24-04-2022","25-04-2022",25,14,4.4,3,6,6,0,NA,NA,NA,4,0,NA,0,1,NA,"pf71901","pf71901",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C21","c","Joe Woodman","false","b",6,"true","18-05-2022",NA,NA,"25-04-2022",25,"0",3,NA,"true",0,"13-05-2022","13-05-2022",43,13,3.3,3,6,5,0,NA,NA,NA,3,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C23","c","Joe Woodman","false","b",6,"true","28-05-2022",NA,NA,"16-04-2022",16,"0",8,NA,"true",0,"07-05-2022","08-05-2022",38,14,4,3,9,9,9,52,15,9,0,9,10.5,9,2,"atr9303",NA,"avl7360, atr9303",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C24","c","Joe Woodman","false","b",6,"true","30-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"05-05-2022","06-05-2022",36,14,3.4,3,10,10,9,50,15,9,0,9,11.48,9,2,"avl4221","j215939","avl4221, j215939",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C24A","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"11-04-2022",11,"0",5,1,"true",0,"05-05-2022","05-05-2022",35,13,3.5,3,12,11,11,49,15,11,0,11,10.88,11,2,"j215948","s883185","s883185, j215948",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C24B","c","Joe Woodman","false","b",6,"true","03-06-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"08-05-2022","10-05-2022",40,15,3.5,3,13,12,12,54,15,12,1,11,9.4,12,3,"j745871","atr5094","j745871, atr5094",NA,"atr9642",NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C24C","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,"21-04-2022",21,"8",8,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C25","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,"18-04-2022",18,"0",8,1,"true",0,"11-05-2022","11-05-2022",41,13,4.6,4,11,10,10,55,15,10,0,10,17.25,10,3,"tv26548","pf72039","tv26548, pf72039",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C26","c","Joe Woodman","false","g",6,"true","14-06-2022",NA,NA,"12-04-2022",12,"0",5,NA,NA,0,NA,NA,NA,NA,4.6,3,5,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C27","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C28","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C29","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C3","c","Joe Woodman","false","g",6,"true","05-06-2022",NA,NA,"18-04-2022",18,"5",8,NA,NA,0,NA,NA,NA,NA,5,3,4,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C30","c","Joe Woodman","false","b",6,"true","27-05-2022",NA,NA,"08-04-2022",8,"0",4,1,"true",0,"30-04-2022","02-05-2022",32,15,3.4,3,10,10,10,46,15,10,0,10,11.58,10,2,"atr9210","atr7321","atr7321, atr9210",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C31","c","Joe Woodman","false","b",6,"true","27-05-2022",NA,NA,"11-04-2022",11,"0",5,NA,"true",0,"03-05-2022","03-05-2022",33,13,3.3,3,10,10,9,47,15,9,0,9,10.5,9,1,NA,"atr9212","atr9212",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C32","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C33","c","Joe Woodman","false","b",6,"true","09-05-2022",NA,NA,"05-04-2022",5,"0",4,1,"true",0,"01-05-2022","02-05-2022",32,14,3.5,3,14,11,0,NA,NA,NA,11,0,NA,0,1,NA,"avl4318","avl4318",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C34","c","Joe Woodman","false","b",6,"true","28-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"04-05-2022","04-05-2022",34,13,3.7,3,9,8,8,48,15,8,0,8,12.16,8,2,"atr9214","atr9215","atr9214, atr9215",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C34A","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C35","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,"16-04-2022",16,"0",8,NA,"true",0,"07-05-2022","09-05-2022",39,15,4.9,3,9,8,8,53,15,8,0,8,18.84,8,3,"ty69411","pf71399","ty69411, pf71399",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C36","c","Joe Woodman","false","b",6,"true","31-05-2022",NA,NA,"15-04-2022",15,"0",8,0.33,"true",0,"07-05-2022","07-05-2022",37,13,3.3,3,10,10,10,51,15,10,0,10,10.75,10,2,"atr6106","atr5769","atr6106, atr5769",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C37","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C38","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C39","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C3A","c","Joe Woodman","false","b",6,"true","24-05-2022",NA,NA,"06-04-2022",6,"0",4,1,"true",0,"28-04-2022","30-04-2022",30,15,3.4,3,10,9,9,44,15,9,0,9,11.22,9,2,"atr5849","atr9201","atr9201, atr5849",NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C3B","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C4","c","Joe Woodman","false","g",6,"true","29-05-2022",NA,NA,"14-04-2022",14,"0",8,NA,"true",0,"04-05-2022","05-05-2022",35,14,5,3,8,8,8,49,15,8,0,8,18.55,8,2,"pf71937","ty69462","ty69462, pf71937",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C40","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C41","c","Joe Woodman","false","b",6,"true","31-05-2022",NA,NA,"14-04-2022",14,"0",8,NA,"true",0,"08-05-2022","07-05-2022",37,12,3.3,3,12,10,9,51,15,9,0,9,8.48,9,1,NA,"avl7974","avl7974",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C42","c","Joe Woodman","false","b",6,"true","31-05-2022",NA,NA,"29-04-2022",29,"2",7,NA,"true",0,"17-05-2022","17-05-2022",47,13,NA,NA,6,6,0,NA,NA,NA,4,0,NA,0,1,NA,"atr9659","atr9659",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C43","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C44","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"17-04-2022",17,"0",8,NA,"true",0,"07-05-2022","06-05-2022",36,12,3.6,3,8,7,7,50,15,7,0,7,10.79,7,2,NA,"avl6332","avl6332",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C45","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C46","c","Joe Woodman","false","b",6,"true","03-06-2022",NA,NA,"18-04-2022",18,"0",8,NA,"true",0,"09-05-2022","09-05-2022",39,13,3.2,3,9,8,7,53,15,7,4,3,7.5,7,2,"afh5796","atr9369","afh5796, atr9369",NA,"atr9591, atr9590, atr9588, atr9589",NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C47","c","Joe Woodman","false",NA,6,"true","03-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C48","c","Joe Woodman","false","b",6,"true","27-05-2022",NA,NA,"09-04-2022",9,"0",5,NA,"true",0,"30-04-2022","02-05-2022",32,15,3.4,3,9,9,9,46,15,9,0,9,11.52,9,3,"afh5796","and7396","afh5796, and7396",NA,NA,NA,0,"FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C49","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"08-04-2022",8,"0",4,0.67,"true",0,"01-05-2022","05-05-2022",35,17,3.4,3,11,10,10,49,15,10,0,10,10.94,10,2,"atr5897","afh2970","afh2970, atr5897",NA,NA,NA,0,"FON, FON, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C5","c","Joe Woodman","false","b",6,"true","27-05-2022",NA,NA,"09-04-2022",9,"0",5,NA,"true",0,"30-04-2022","02-05-2022",32,15,3.5,3,9,9,9,46,15,9,0,9,11.7,9,2,"afh4516","s884420","s884420, afh4516",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C50","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C51","c","Joe Woodman","false","b",6,"true","29-05-2022",NA,NA,"13-04-2022",13,"0",5,1,"true",0,"05-05-2022","05-05-2022",35,13,3.4,3,10,10,9,49,15,9,0,9,10.91,9,2,"abj6386","avl4308","avl4308, abj6386",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C52","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C53","c","Joe Woodman","false","b",6,"true","12-05-2022",NA,NA,"16-04-2022",16,"0",8,NA,"true",0,"08-05-2022","07-05-2022",37,12,3.5,3,10,10,0,NA,NA,NA,10,0,NA,0,1,NA,"avl6718","avl6718",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C54","c","Joe Woodman","false","g",6,"true","03-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C55","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C56","c","Joe Woodman","false","g",6,"true","25-05-2022",NA,NA,"10-04-2022",10,"0",5,NA,"true",0,"29-04-2022","01-05-2022",31,15,4.3,3,7,7,7,45,15,7,0,7,18.04,7,2,"ty70291","ty70299","ty70291, ty70299",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C57","c","Joe Woodman","false","b",6,"true","27-05-2022",NA,NA,"10-04-2022",10,"0",5,NA,"true",0,"03-05-2022","02-05-2022",32,12,3.5,3,11,11,11,46,15,11,0,11,11.34,11,2,"akd3452","j215955","j215955, akd3452",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C58","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C59","c","Joe Woodman","false","g",6,"true","31-05-2022",NA,NA,"21-04-2022",21,"0",8,1,"true",0,"10-05-2022","10-05-2022",40,12,5.8,3,8,8,8,54,15,8,0,8,18.88,8,2,"pf71400","pf71394","pf71400, pf71394",NA,NA,NA,0,"FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C6","c","Joe Woodman","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C60","c","Joe Woodman","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221C61","c","Joe Woodman","false","b",6,"true","01-06-2022",NA,NA,"17-04-2022",17,"0",8,NA,"true",0,"08-05-2022","08-05-2022",38,13,3.4,3,9,9,9,52,15,9,0,9,10.18,9,2,"atr5765","avl4051","avl4051, atr5765",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
